date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:15	478/478	---MCZ	200	added ('OK')	text/plain	etag:cacheable:95af74e83be69bf37f435fe7fe132c01	https://awokendreams.shop/robots.txt		(from )
14:30:15	46223/46223	---MCZ	200	added ('OK')	text/html	etag:cacheable:589996b7ffd0efa92ebaea2088726df7	https://awokendreams.shop/	C:/Users/Z%20rb/Desktop/si/prueba/awokendreams.shop/index.html	(from )
14:30:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2013:30:08%20GMT	http://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/theme.css?v=38805199611776753601662422526	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/theme.0db75.delayed	(from https://awokendreams.shop/)
14:30:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2013:30:09%20GMT	http://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/theme.js?v=16203573537316399521662422526	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/themeb9be.js	(from https://awokendreams.shop/)
14:30:16	189883/189883	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Oct%202022%2020:41:58%20GMT	https://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/theme.css?v=38805199611776753601662422526	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/themedb75.css	(from https://awokendreams.shop/)
14:30:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2013:30:10%20GMT	http://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/lazysizes.js?v=63098554868324070131662422525	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/lazysizes3973.js	(from https://awokendreams.shop/)
14:30:17	150111/150111	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2010%20Nov%202022%2012:26:28%20GMT	https://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/theme.js?v=16203573537316399521662422526	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/themeb9be.js	(from https://awokendreams.shop/)
14:30:18	23039/23039	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2011%20Oct%202022%2004:07:05%20GMT	https://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/lazysizes.js?v=63098554868324070131662422525	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/lazysizes3973.js	(from https://awokendreams.shop/)
14:30:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2013:30:11%20GMT	http://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ajax-loader.gif?v=41356863302472015721662422524	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ajax-loaderd485.gif	(from https://awokendreams.shop/)
14:30:19	2198/2198	---M--	200	added ('OK')	image/gif	date:Wed,%2016%20Nov%202022%2013:30:12%20GMT	https://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ajax-loader.gif?v=41356863302472015721662422524	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ajax-loaderd485.gif	(from https://awokendreams.shop/)
14:30:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2013:30:12%20GMT	http://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ie11CustomProperties.min.js?v=146208399201472936201662422525	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ie11CustomProperties.min9e21.js	(from https://awokendreams.shop/)
14:30:20	8582/8582	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2016%20Nov%202022%2013:30:13%20GMT	https://cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ie11CustomProperties.min.js?v=146208399201472936201662422525	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/s/files/1/0505/5686/2629/t/3/assets/ie11CustomProperties.min9e21.js	(from https://awokendreams.shop/)
14:30:20	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2016%20Nov%202022%2013:04:51%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/Z%20rb/Desktop/si/prueba/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://awokendreams.shop/)
